interview_id,catch_id,species,run,life_stage,fin_mark,sex,fork_length_cm,fate,fish_count,catch_group,year,month,week,fishing_duration_minutes,trip_guided,boat_type,boat_used,angler_count,angler_minutes,trip_status,fishing_start_time,fishing_end_time,creel_event_id,event_date,water_body,project_name,fishery_name,gear_id,angling_method,angling_gear,barbed_hook_status,hook_count,gear_comments,hook_info,points_1,size_1,points_2,size_2,points_3,size_3,created_datetime,modified_datetime
EC50DEE7-0273-4E49-99A9-416352F6C555,17B6CE68-90C6-407C-8199-29BFEA5F3873,Chinook,NA,Adult,UM,NA,NA,Released,1,Chinook_Adult_UM_Released,2021,10,42,495,NA,NA,Yes,1,495,Complete,09:00:00,17:15:00,96F03A98-425B-43A2-8CC5-8BDBA8E47F51,2021-10-19,Nisqually River,District 11,Nisqually salmon 2021,D6647579-CB58-4CDB-BA7B-153D6E60592A,Drift,Bait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
EC50DEE7-0273-4E49-99A9-416352F6C555,5D72ED9B-8A9F-48D9-A4D1-3967D2551FEB,Chinook,NA,Jack,AD,NA,NA,Kept,1,Chinook_Jack_AD_Kept,2021,10,42,495,NA,NA,Yes,1,495,Complete,09:00:00,17:15:00,96F03A98-425B-43A2-8CC5-8BDBA8E47F51,2021-10-19,Nisqually River,District 11,Nisqually salmon 2021,D6647579-CB58-4CDB-BA7B-153D6E60592A,Drift,Bait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
E14B8FDF-FA46-4373-8741-ACB9457B298A,AAAD5141-AADB-4CFA-A9B4-C47F8B0F0782,Chinook,NA,Adult,AD,NA,NA,Kept,1,Chinook_Adult_AD_Kept,2021,10,40,365,NA,NA,No,2,730,Complete,07:30:00,13:35:00,77C7D3A1-C2B2-49B9-A10F-91707F8DEE99,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,F3BF48A9-5E38-408D-A7D1-6CA88F1D8C4D,Drift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
BD925DB0-8539-44FE-80FF-91FFB7AA2B35,860B076E-A0D6-4537-8497-A9FF58BA8E81,Chinook,NA,Adult,AD,NA,NA,Kept,1,Chinook_Adult_AD_Kept,2021,10,40,230,NA,NA,No,2,460,Complete,09:00:00,12:50:00,77C7D3A1-C2B2-49B9-A10F-91707F8DEE99,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,C907D0FC-A4B8-4EDC-848B-D446ED867388,Drift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
E9BA97D7-0077-4DAF-83BF-DBC6BE8E6CE2,70825981-2025-4CF3-BFA1-B8EB676718BF,Chinook,NA,Adult,AD,NA,NA,Kept,1,Chinook_Adult_AD_Kept,2021,10,40,415,NA,NA,Yes,4,1660,Complete,07:00:00,13:55:00,77C7D3A1-C2B2-49B9-A10F-91707F8DEE99,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,A5365EB3-7EEB-41AF-BA69-40D4BECA4F6F,NA,Lure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
9398EBC2-9672-4F60-B0D6-5F1B89D030AB,0E09A859-6000-4C0A-B207-369511726533,Chinook,NA,Adult,AD,NA,NA,Kept,1,Chinook_Adult_AD_Kept,2021,10,40,609,NA,NA,Yes,3,1827,Complete,08:00:00,18:09:00,77C7D3A1-C2B2-49B9-A10F-91707F8DEE99,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,FC6FDD0F-7B1B-4CFE-8317-9ECFD9CF2B09,Bobber,Bait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
9398EBC2-9672-4F60-B0D6-5F1B89D030AB,32E1531B-9234-4636-9755-BC614E42AEF8,Chinook,NA,Adult,AD,NA,NA,Released,6,Chinook_Adult_AD_Released,2021,10,40,609,NA,NA,Yes,3,1827,Complete,08:00:00,18:09:00,77C7D3A1-C2B2-49B9-A10F-91707F8DEE99,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,FC6FDD0F-7B1B-4CFE-8317-9ECFD9CF2B09,Bobber,Bait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
DB513CC9-83D9-4E06-B64D-D4991C5C2561,3AB1A288-D214-4662-9F79-6C1AB32235AE,Chinook,NA,Adult,AD,NA,NA,Released,7,Chinook_Adult_AD_Released,2021,10,40,510,NA,NA,Yes,5,2550,Complete,07:00:00,15:30:00,77C7D3A1-C2B2-49B9-A10F-91707F8DEE99,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,A6F0EE74-2BC2-4EA2-8048-1573217DAECC,NA,Lure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
7938C157-DD7A-4EE3-A543-6A5C372FF7C3,5BE7C364-599A-4607-92A1-A7A1405797BC,Chinook,NA,Adult,AD,NA,NA,Released,2,Chinook_Adult_AD_Released,2021,10,40,200,NA,NA,No,1,200,Complete,06:15:00,09:35:00,A2B35B65-FD51-404D-A86F-E8DA079AF991,2021-10-02,Nisqually River,District 11,Nisqually salmon 2021,0D72A3AF-AFEF-4AB5-87A2-A6FC89DCB9C8,Drift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
9B1C72B0-C430-472A-8687-186F699185DD,E7212A26-1481-4AFF-AF56-629988D6C37E,Chinook,NA,Adult,AD,NA,NA,Released,4,Chinook_Adult_AD_Released,2021,9,39,240,NA,NA,No,1,240,Complete,14:00:00,18:00:00,11532FAD-00A7-4B59-AE69-F023B58C022A,2021-09-28,Nisqually River,District 11,Nisqually salmon 2021,8D7EEC30-8C24-4C8B-9AE9-A676B9200983,Drift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-26T11:06:34Z,2024-11-26T19:06:34Z
