creel_event_id,event_date,water_body,project_name,fishery_name,interview_id,interview_number,angler_type,interview_location,fishing_location,location_id,crc_area,angler_count,total_group_count,pole_count,trip_status,fishing_start_time,fishing_end_time,interview_time,target_species,trip_guided,boat_type,boat_used,fish_from_boat,vehicle_count,trailer_count,state_residence,zip_code,previously_interviewed,comment_txt,location_type,survey_type,location_season_name,section_num,surveyor_num,p_census_bank,p_census_boat,indirect_census_bank,direct_census_bank,month,year,week
1727CD4D-8B14-4A4C-A74D-964B7C200B55,2021-08-16,Nisqually River,District 11,Nisqually salmon 2021,423BD8FE-2822-4B71-9311-3CC7D7427725,20,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,2,NA,NA,Complete,16:00:00,18:55:00,NA,Chinook,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,8,2021,33
4790A394-BA63-4EC8-AD2C-5D974E6F873B,2021-08-28,Nisqually River,District 11,Nisqually salmon 2021,ED0D20AA-CDFF-4F1C-9A8B-D45F5D03EE87,21,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,06:45:00,11:20:00,NA,Chinook,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,8,2021,35
C5342288-5284-4326-BFAE-3E6B8EA0F79E,2021-09-11,Nisqually River,District 11,Nisqually salmon 2021,AE2CF10E-CF70-4129-8A83-757F0CAD14E9,22,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Incomplete,06:15:00,08:00:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
EC1638C5-5DDA-482E-B951-593CC269F7CE,2021-09-14,Nisqually River,District 11,Nisqually salmon 2021,BB2E07C0-C6B6-4F58-90AF-EB2F10EDA5DF,6,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,3,NA,NA,Complete,07:30:00,14:25:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
EC1638C5-5DDA-482E-B951-593CC269F7CE,2021-09-14,Nisqually River,District 11,Nisqually salmon 2021,99F1612F-1F1C-40C7-BBB1-E1012899CD46,16,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,2,NA,NA,Complete,06:15:00,10:05:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
EC1638C5-5DDA-482E-B951-593CC269F7CE,2021-09-14,Nisqually River,District 11,Nisqually salmon 2021,94657B86-086B-47AC-841B-9DC8DF7065DE,9,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,2,NA,NA,Complete,06:00:00,10:20:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
EC1638C5-5DDA-482E-B951-593CC269F7CE,2021-09-14,Nisqually River,District 11,Nisqually salmon 2021,02AE0881-AC4B-44A5-B192-1DC8CEA0C258,2,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,09:00:00,13:15:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
E8FABFD1-E6AA-45DA-B0BA-3F24B6CE5507,2021-09-15,Nisqually River,District 11,Nisqually salmon 2021,90E0C1BE-159D-40E0-BBAD-E104B44FBB8F,6,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,05:50:00,09:40:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
E8FABFD1-E6AA-45DA-B0BA-3F24B6CE5507,2021-09-15,Nisqually River,District 11,Nisqually salmon 2021,7DE3CE26-5197-4D62-83DF-66D9855DA09C,3,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,2,NA,NA,Incomplete,06:00:00,14:30:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
E8FABFD1-E6AA-45DA-B0BA-3F24B6CE5507,2021-09-15,Nisqually River,District 11,Nisqually salmon 2021,1B5834C6-B6E4-45FB-B1B7-DEB8265E2AD0,2,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,08:00:00,12:45:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,37
2EC36A22-9909-4BF3-8294-81AE6ED807D8,2021-09-17,Nisqually River,District 11,Nisqually salmon 2021,5C03617E-C63C-4B25-9C43-ED009FFF5547,8,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,11:30:00,12:54:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
2EC36A22-9909-4BF3-8294-81AE6ED807D8,2021-09-17,Nisqually River,District 11,Nisqually salmon 2021,B701775B-8407-4335-9354-293E485CE43E,1,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,12:00:00,13:20:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
2EC36A22-9909-4BF3-8294-81AE6ED807D8,2021-09-17,Nisqually River,District 11,Nisqually salmon 2021,FA56798E-D130-4E64-BD47-30211161B422,3,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Incomplete,10:00:00,14:30:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
2EC36A22-9909-4BF3-8294-81AE6ED807D8,2021-09-17,Nisqually River,District 11,Nisqually salmon 2021,FC4B4A0C-F47E-4932-9D62-92404AF369C8,6,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Incomplete,07:00:00,13:46:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
2EC36A22-9909-4BF3-8294-81AE6ED807D8,2021-09-17,Nisqually River,District 11,Nisqually salmon 2021,1F025868-03A2-4B43-A793-DCB9C6BF1A25,7,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:00:00,13:00:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
2EC36A22-9909-4BF3-8294-81AE6ED807D8,2021-09-17,Nisqually River,District 11,Nisqually salmon 2021,5C784DAA-8DF1-4570-A0C6-B4B9FE67C7D2,10,Boat,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:00:00,12:00:00,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
5F32514A-732A-4F90-8779-694F8250A065,2021-09-18,Nisqually River,District 11,Nisqually salmon 2021,02591949-ECC2-427B-82F4-09DEA708B2FC,2,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,2,NA,NA,Complete,06:30:00,10:00:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
5F32514A-732A-4F90-8779-694F8250A065,2021-09-18,Nisqually River,District 11,Nisqually salmon 2021,1AE28904-2120-4C0D-ADE6-D73BC441845B,5,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:30:00,09:30:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
5F32514A-732A-4F90-8779-694F8250A065,2021-09-18,Nisqually River,District 11,Nisqually salmon 2021,88CF8C4E-2AB4-417F-B4F6-57966676B898,20,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Incomplete,11:20:00,13:40:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
5F32514A-732A-4F90-8779-694F8250A065,2021-09-18,Nisqually River,District 11,Nisqually salmon 2021,84F434DE-C019-4464-854C-684A6790CF48,8,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:00:00,09:20:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
5F32514A-732A-4F90-8779-694F8250A065,2021-09-18,Nisqually River,District 11,Nisqually salmon 2021,44D530EC-2F1F-45B1-8907-77463D445B1A,18,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,4,NA,NA,Complete,10:00:00,13:24:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
A4268B54-7946-418F-A7A7-727E3E633F79,2021-09-20,Nisqually River,District 11,Nisqually salmon 2021,4F5AD6E6-9B50-4E82-8B31-0BC286AB7819,3,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:30:00,14:32:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
A4268B54-7946-418F-A7A7-727E3E633F79,2021-09-20,Nisqually River,District 11,Nisqually salmon 2021,C390BD06-D15B-4467-AD91-2A079C8ACE48,2,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,11:00:00,14:12:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
A4268B54-7946-418F-A7A7-727E3E633F79,2021-09-20,Nisqually River,District 11,Nisqually salmon 2021,816B9686-3D40-4C4D-B70C-F6D96B52815A,7,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:00:00,14:45:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
A4268B54-7946-418F-A7A7-727E3E633F79,2021-09-20,Nisqually River,District 11,Nisqually salmon 2021,DA9476A9-352F-4BBF-A66E-CB5DD3CAE611,5,Bank,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,07:00:00,14:40:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,9,2021,38
96F03A98-425B-43A2-8CC5-8BDBA8E47F51,2021-10-19,Nisqually River,District 11,Nisqually salmon 2021,EC50DEE7-0273-4E49-99A9-416352F6C555,4,Boat,Handicap Access,Handicap Access,0691BAF7-E5D2-423C-B157-CF0255A5D961,786,1,NA,NA,Complete,09:00:00,17:15:00,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,10,2021,42
117F9484-70D0-433B-BBF7-5E319B490660,2021-08-20,Nisqually River,District 11,Nisqually salmon 2021,86F786AB-ECD4-4991-B0DE-3F236E9C145E,27,Bank,Riverbend Campground (Upper and Lower),Riverbend Campground (Upper and Lower),51B3F82E-0CCB-406F-9DA6-5712018D9BDB,786,1,NA,NA,Incomplete,13:00:00,NA,NA,Chinook,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,8,2021,34
117F9484-70D0-433B-BBF7-5E319B490660,2021-08-20,Nisqually River,District 11,Nisqually salmon 2021,21F00FAD-9F3C-4A46-B759-BA28BA1A1344,19,Bank,Riverbend Campground (Upper and Lower),Riverbend Campground (Upper and Lower),51B3F82E-0CCB-406F-9DA6-5712018D9BDB,786,1,NA,NA,Incomplete,12:00:00,NA,NA,Chinook,NA,NA,NA,NA,1,0,NA,NA,NA,NA,Site,Index,NA,2,1,1,1,1,1,8,2021,34
